system:index,BasinID,area,feature,year,.geo
1_2_000000000000000026fe,1080982910,0.0,waterArea,1986.0,
1_2_00000000000000002704,1080977020,5332.3917236328125,waterArea,1986.0,
1_2_0000000000000000270b,1081012470,0.0,waterArea,1986.0,
1_2_00020000000000002c8c,5080162350,0.0,waterArea,1986.0,
1_2_000200000000000037d2,5080166880,0.0,waterArea,1986.0,
1_2_000600000000000023f1,6080108730,135300.05688476562,waterArea,1986.0,
1_2_000700000000000035bb,6080546500,6.1183492313464835E7,waterArea,1986.0,
1_2_0007000000000000362a,6080552520,7.006074010755213E7,waterArea,1986.0,
1_2_0007000000000000362b,6080552360,2.774918372819799E7,waterArea,1986.0,
1_2_00070000000000003659,6080548660,1.015161035413244E7,waterArea,1986.0,
1_2_0007000000000000365a,6080548950,2.8503976106162164E7,waterArea,1986.0,
1_2_0007000000000000369f,6080549240,4.057782636965739E7,waterArea,1986.0,
1_2_000700000000000036a0,6080549470,2.7134184835927207E7,waterArea,1986.0,
1_2_0007000000000000371f,6080540560,7228145.924037321,waterArea,1986.0,
1_2_00070000000000003720,6080540660,3.951877528593941E7,waterArea,1986.0,
2_1_1_000000000000000026fe,1080982910,0.0,cl,1987.0,
2_1_1_00000000000000002704,1080977020,0.0,cl,1987.0,
2_1_1_0000000000000000270b,1081012470,0.0,cl,1987.0,
2_1_1_00020000000000002c8c,5080162350,0.0,cl,1987.0,
2_1_1_000200000000000037d2,5080166880,0.0,cl,1987.0,
2_1_1_000600000000000023f1,6080108730,6.0,cl,1987.0,
2_1_1_000700000000000035bb,6080546500,2965.2509803921566,cl,1987.0,
2_1_1_0007000000000000362a,6080552520,5689.941176470588,cl,1987.0,
2_1_1_0007000000000000362b,6080552360,1923.2823529411764,cl,1987.0,
2_1_1_00070000000000003659,6080548660,1944.8745098039217,cl,1987.0,
2_1_1_0007000000000000365a,6080548950,2321.6666666666665,cl,1987.0,
2_1_1_0007000000000000369f,6080549240,4385.2235294117645,cl,1987.0,
2_1_1_000700000000000036a0,6080549470,6350.023529411765,cl,1987.0,
2_1_1_0007000000000000371f,6080540560,1095.1019607843136,cl,1987.0,
2_1_1_00070000000000003720,6080540660,4099.576470588236,cl,1987.0,
2_1_2_000000000000000026fe,1080982910,0.0,rivArea,1987.0,
2_1_2_00000000000000002704,1080977020,0.0,rivArea,1987.0,
2_1_2_0000000000000000270b,1081012470,0.0,rivArea,1987.0,
2_1_2_00020000000000002c8c,5080162350,0.0,rivArea,1987.0,
2_1_2_000200000000000037d2,5080166880,0.0,rivArea,1987.0,
2_1_2_000600000000000023f1,6080108730,1642873.0317993164,rivArea,1987.0,
2_1_2_000700000000000035bb,6080546500,5.4223047937916234E7,rivArea,1987.0,
2_1_2_0007000000000000362a,6080552520,7.058159860917638E7,rivArea,1987.0,
2_1_2_0007000000000000362b,6080552360,2.219429320714997E7,rivArea,1987.0,
2_1_2_00070000000000003659,6080548660,9672455.607896034,rivArea,1987.0,
2_1_2_0007000000000000365a,6080548950,2.3602601222248398E7,rivArea,1987.0,
2_1_2_0007000000000000369f,6080549240,3.987353827518909E7,rivArea,1987.0,
2_1_2_000700000000000036a0,6080549470,3.373838294630989E7,rivArea,1987.0,
2_1_2_0007000000000000371f,6080540560,6869727.093326824,rivArea,1987.0,
2_1_2_00070000000000003720,6080540660,4.634541025775625E7,rivArea,1987.0,
2_2_000000000000000026fe,1080982910,0.0,waterArea,1987.0,
2_2_00000000000000002704,1080977020,5332.3917236328125,waterArea,1987.0,
2_2_0000000000000000270b,1081012470,0.0,waterArea,1987.0,
2_2_00020000000000002c8c,5080162350,0.0,waterArea,1987.0,
2_2_000200000000000037d2,5080166880,0.0,waterArea,1987.0,
2_2_000600000000000023f1,6080108730,1917020.923461914,waterArea,1987.0,
2_2_000700000000000035bb,6080546500,6.58777688942761E7,waterArea,1987.0,
2_2_0007000000000000362a,6080552520,7.564617336570714E7,waterArea,1987.0,
2_2_0007000000000000362b,6080552360,2.9659174239620656E7,waterArea,1987.0,
2_2_00070000000000003659,6080548660,1.104755924412435E7,waterArea,1987.0,
